Smiles,labels
[O-][N+](=O)c1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1,0
[O-][n+]1cc(NC(=O)C2CCOc3ccc(G)cc23)c2ccccc2c1,0
Rc1ccc2NC(=O)C(=O)c2c1,0
Rc1cccc2C(=O)C(=O)N(Cc3cccc(c3)C#N)c12,1
Rc1cccc2C(=O)C(=O)Nc12,0
CC#CC(CC(O)=O)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(F)(F)F)cc1,0
CC(=O)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,0
CC(=O)N1CCN(CC(=O)Nc2cncc3ccccc23)CC1,0
CC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C)C(C)(C)C,1
CC(=O)NCc1cc(G)cc(CC(=O)Nc2cnccc2C)c1,0
CC(C(=O)Nc1cnccc1C)c1cc(G)cc(OC2CC(=O)N2)c1,0
CC(C(=O)Nc1cnccc1C)c1cccc(c1)C#N,0
CC(C)(C)C(NC(=O)C(C)(C)C)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)(C)C(NC(=O)C(F)(F)F)C(=O)N1CC(CC1C(=O)NC(CC1CCNC1=O)C#N)C(F)(F)F,1
CC(C)(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CC(O)NC1=O)C#N)C2(C)C,1
CC(C)(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C#N)C2(C)C,1
CC(C)(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)(C)C(NC(=O)Cc1ccc(G)cc1G)C(=O)N1CC2CCCC2C1C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)(C)C(NC(=O)COc1ccc(F)cc1)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C#N)C2(C)C,1
CC(C)(C)C(NCc1ccc(G)cc1G)C(=O)N1CC2CCCC2C1C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)(C)C(NS(=O)(=O)C(C)(C)C)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)(C)C(NS(C)(=O)=O)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)(C)c1cc(no1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)N1CCOCC1)c1cccnc1)C(=O)c1ccco1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)Nc1ccc2OCOc2c1)c1cccnc1)C(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1ccc(nc1)C#N)C(=O)CG,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1cccnc1)C(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1cccnc1)C(=O)C=O,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1cccnc1)S(=O)(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCc1cccnc1)c1cccnc1)C(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCc1cccnc1)c1cccnc1)C(=O)c1cocn1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC1CCCO1)c1cccnc1)C(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]c(=O)cn1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1c[nH]c(=O)s1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(=O)[nH][nH]1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cc(on1)C1(O)COC1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccc(O)c(=O)o1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cncs1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1coc(CS(C)(=O)=O)n1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnc2ccccn12)C(=O)c1ccco1,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncc(O)c1)C(=O)C=C,0
CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCN1CCOCC1)c1cccnc1)C(=O)c1cocn1,0
CC(C)(C)c1ccc(N(C(C(=O)NC2CCCCC2)c2cccnc2)C(=O)CG)c(R)c1,0
CC(C)(C)c1cnc(o1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,0
CC(C)(C)CC(NC(=O)c1nc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)(C)NC(=O)C(N(C(=O)C=C)c1ccc(cc1)C(C)(C)C)c1cncc(G)c1,0
CC(C)(C)OC(=O)N1CCCC11CCN(C(CC2CC2)C(=O)NC(CC2CCNC2=O)C#N)C1=O,0
CC(C)(C)OC(=O)N1CCCCC11CCN(C(CC2CC2)C(=O)NC(CC2CCNC2=O)C#N)C1=O,0
CC(C)(C)OC(=O)Nc1cccn(C(CC2CC2)C(=O)NC(CC2CCNC2=O)C(O)C(=O)NCc2ccccc2)c1=O,1
CC(C)(C)OC(=O)NN(CC(=O)N(Cc1ccccc1)Cc1ccccc1)C#N,1
CC(C)(C)Oc1ccncc1NC(=O)Cc1cccc(G)c1,0
CC(C)(c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1)S(C)(=O)=O,0
CC(C)(CCc1ccc(G)c(F)c1)C(=O)N1CC2CCCC2C1C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)(CO)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CC(=O)NC1=O)C#N)C2(C)C,1
CC(C)(CO)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C#N)C2(C)C,1
CC(C)(Oc1ccc(G)cc1G)C(=O)N1CC2CCCC2C1C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)(Oc1ccc(G)cc1G)C(=O)N1Cc2ccccc2CC1C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)(OCc1ccc(F)cc1F)C(=O)N1CC2CCCC2C1C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)C(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C)C(C)(C)C,1
CC(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C#N)C2(C)C,1
CC(C)C(NC(=O)C(F)(F)F)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)C(NC(=O)OC(C)(C)C)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(CC1CCCCC1)C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)C(NS(=O)(=O)C(C)(C)C)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)C(NS(=O)(=O)C(F)(F)F)C(=O)N1CCC(CC1C(=O)NC(CC1CCNC1=O)C#N)C(C)(C)C,1
CC(C)C(NS(=O)(=O)C1CC1)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)C(NS(C)(=O)=O)C(=O)N1CC2(CC2)CC1C(=O)NC(CC1CCNC1=O)C(=O)c1nc2ccccc2s1,1
CC(C)C(NS(C)(=O)=O)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3c(cccc3s1)C(F)(F)F)C2(C)C,1
CC(C)C(NS(C)(=O)=O)C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C,1
CC(C)CC(N(C)C(=O)c1cc2cc(F)ccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(N(C)C(=O)c1cc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CG,1
CC(C)CC(NC(=O)C(NC(=O)C=Cc1ccc(G)cc1F)C(C)C)C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)CC(NC(=O)C(NC(=O)CCCC#C)C(C)(C)C)C(=O)NN(CCC(N)=O)C(=O)CG,1
CC(C)CC(NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)CC(NC(=O)C(NC(=O)OCc1ccccc1)C(C)OC(C)(C)C)C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)CC(NC(=O)C=Cc1ccc(G)cc1F)C(=O)NN(CCC(N)=O)C(=O)CG,1
CC(C)CC(NC(=O)C=Cc1ccccc1)C(=O)NC(CC1CCNC1=O)C=O,1
CC(C)CC(NC(=O)c1cc2c(G)cccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(NC(=O)c1cc2cc(G)ccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(NC(=O)c1cc2ccccc2[nH]1)C(=O)NN(CC1CCNC1=O)C(=O)CG,1
CC(C)CC(NC(=O)c1cc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(NC(=O)c1cc2cccnc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CG,1
CC(C)CC(NC(=O)c1cc2ccncc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(NC(=O)c1cc2cnccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CG,1
CC(C)CC(NC(=O)c1nc2cc(G)ccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(NC(=O)c1nc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)G,1
CC(C)CC(NC(=O)c1nc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CG,1
CC(C)CC(NC(=O)Nc1ccc(cc1)-c1noc(n1)-c1cccs1)C(=O)N(C)N(C)C#N,0
CC(C)CC(NC(=O)NCc1ccc(cc1)-c1noc(C)n1)C(=O)N(C)N(C)C#N,0
