,Smiles,labels,
427,COc1cccc2[nH]c(cc12)C(=O)NC(CC(C)C)C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)c1cnccc1C,1,
330,CNC(=O)C1(CC(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc12,0,1
248,Clc1ccc2CNCC(C(=O)Nc3cncc4ccccc34)c2c1,0,1
499,Fc1cccc(CCC(=O)N2CC3CCCC3C2C(=O)NC(CC2CCNC2=O)C=O)c1,1,
107,CC1(C)C2CN(C(C12)C(=O)NC(CC1C(=O)NCC1(C)C)C=O)C(=O)COc1ccc(Cl)cc1Cl,1,
253,Clc1ccc2OCCC(C(=O)Nc3cncc4[nH]c(=O)[nH]c34)c2c1,0,1
503,Fc1cccc(CCNC(=O)C(N(C(=O)c2ccco2)c2ccc(cc2)-c2n[nH]c3CCOCc23)c2cccnc2)c1,0,1
277,Clc1cccc(CC(=O)Nc2cnccc2-c2ccccc2)c1,0,1
558,O=C(NC1CCC2SCC(N2C1=O)C(=O)NC(CC1CCNC1=O)C#N)OCc1ccccc1,0,
96,CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,0,
125,CC1(C)C2CN(C(C12)C(=O)NC(CC1CCNC1=O)C=O)C(=O)COc1ccc(Cl)cc1Cl,1,
123,CC1(C)C2CN(C(C12)C(=O)NC(CC1CCNC1=O)C=O)C(=O)COc1ccc(Cl)c(Cl)c1,1,
8,CC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C(=O)c1nc3ccccc3s1)C2(C)C)C(C)(C)C,1,
43,CC(C)(C)c1ccc(N(C(C(=O)NC2CCCCC2)c2cccnc2)C(=O)CCl)c(Br)c1,0,
88,CC(C)CC(NC(=O)c1nc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CCl,1,
25,CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1ccc(nc1)C#N)C(=O)CCl,0,
126,CC1(C)C2CN(C(C12)C(=O)NC(CC1CCNC1=O)C=O)C(=O)COc1ccc(F)c(F)c1,1,
285,Clc1cccc(NC(=O)Cn2nnc3ccccc23)c1,0,
574,OC1CC(O)(CC(OC(=O)C=Cc2ccc(O)c(O)c2)C1O)C(O)=O,0,
463,CS(=O)(=O)N1CCc2ccc(CN3CCN(CC3)C(=O)CCl)cc2C1,0,
555,O=C(NC(CC1CCNC1=O)C#N)C(CC1CC1)n1ccc2[nH]cnc2c1=O,0,
80,CC(C)CC(NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)Cl,1,
443,COc1cccc2[nH]c(cc12)C(=O)NC(CC1CC1)C(=O)NC(CC1CCCNC1=O)C#N,0,
515,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2cnc(nc2)C2CCC2)c2cccnc2)c1,0,
176,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cc(no2)-c2ccc(Cl)cc2)c1,0,
245,Clc1ccc(OCC(=O)N2CC3CCCC3C2C(=O)NC(CC2CCNC2=O)C=O)c(Cl)c1,1,
233,Clc1cc(OCc2ccccc2Cl)cc(c1)C1C=C(C(=O)N(C1=O)c1cccnc1)c1c[nH]c(=O)[nH]c1=O,1,
442,COc1cccc2[nH]c(cc12)C(=O)NC(CC(C)C)C(=O)NN(CCC(N)=O)C(=O)C(F)Cl,1,
197,CC1CNC(=O)C1CC(NC(=O)C1C2CCCC2CN1C(=O)COc1cccc(c1)-c1ccccc1)C(=O)CF,1,
523,Fc1ccccc1N1CCN(CC1)C(=O)c1cc(=O)[nH]c2ccccc12,0,
471,FC(F)(F)CN1CCOCC1C(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0,
316,Cn1c(nc2ccccc12)C(NC(=O)Cc1cc2ccccc2[nH]1)c1cccc(Cl)c1,0,
487,Fc1c(Cl)cc(cc1OCc1ccccc1Cl)C1C=C(C(=O)N(C1=O)c1cccnc1)c1c[nH]c(=O)[nH]c1=O,1,
84,CC(C)CC(NC(=O)c1cc2ccncc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)C(F)Cl,1,
549,O=C(Cc1ccsc1)N1CCN(CC1)c1cc(n[nH]1)-c1cccs1,0,
198,CC1CNC(=O)C1CC(NC(=O)C1C2CCCC2CN1C(=O)COc1cccc(c1)-c1ccccc1)C=O,1,
349,COc1cc(cc(C=O)c1OCC(=O)N(C)C)-c1cccc2[nH]ncc12,1,
261,Clc1ccc2OCCC3(OC(=O)N(C3=O)c3cncc4ccccc34)c2c1,0,
270,Clc1cccc(CC(=O)Nc2cnc(C#N)c3ccccc23)c1,0,
335,COC(=O)c1c(NCCCc2ccccc2)c2cc(F)ccc2[nH]c1=O,0,
307,CN(C)C(=O)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0,
145,Cc1cc(O)c2C(=O)C3CC(O)(C4=C3C(=O)c3cccc(O)c3C4=O)c2c1,0,
344,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,0,
102,CC(NC(=O)CCl)c1cc(F)cc(Cl)c1,0,
283,Clc1cccc(CN2CCN(CC2)C(=O)C=O)c1,0,
52,CC(C)(c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1)S(C)(=O)=O,0,
41,CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncc(O)c1)C(=O)C=C,0,
373,COc1ccc(OCC(=O)N2CC3C(C2C(=O)NC(CC2CCNC2=O)C=O)C3(C)C)cc1,1,
252,Clc1ccc2OCCC(C(=O)Nc3cc(=O)[nH]c4ccccc34)c2c1,0,
339,COC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CCNC1=O)C#N)C2(C)C)C(C)(C)C,1,
343,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccc(F)cc12,0,
161,CC1CCN(CC(=O)Nc2cnccc2C)CC1,0,
372,COc1ccc(OC(C)C(=O)N2CC3CCCC3C2C(=O)NC(CC2CCNC2=O)C=O)cc1,1,
98,CC(C)Oc1cc(Cl)cc(c1)N(CCC1CCCCC1)C(=O)Nc1cnccc1C,0,
507,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc(cc2)N2CCCC2=O)c2cccnc2)c1,0,
