mean_ci_0,mean_ci_1,mean_ci_2,mean_ci_3,mean_ci_4,mean_ci_5,mean_ci_6,mean_ci_7,mean_ci_8,mean_ci_9,mean_ci_10,mean_ci_11,mean_ci_12,mean_ci_13,mean_ci_14,mean_ci_15,mean_ci_16,mean_ci_17,mean_ci_18,mean_ci_19,mean_ci_20,mean_ci_21,mean_ci_22,mean_ci_23,mean_ci_24,mean_ci_25,mean_ci_26,mean_ci_27,mean_ci_28,mean_ci_29,mean_ci_30,mean_ci_31,mean_ci_32,mean_ci_33,mean_ci_34,mean_ci_35,mean_ci_36,mean_ci_37,mean_ci_38,mean_ci_39,mean_ci_40,mean_ci_41,mean_ci_42,mean_ci_43,mean_ci_44,mean_ci_45,mean_ci_46,mean_ci_47,mean_ci_48,mean_ci_49,mean_ci_50,mean_ci_51,mean_ci_52,mean_ci_53,mean_ci_54,mean_ci_55,mean_ci_56,mean_ci_57,mean_ci_58,mean_ci_59,mean_ci_60,mean_ci_61,mean_ci_62,mean_ci_63
0.01274779,0.2855473,-0.17205456,0.02731829,0.1680071,-0.10478532,0.40558904,-0.5694199,0.04051575,-0.38532445,0.09749116,0.32080582,0.33728287,0.068484455,0.039040316,-0.0658491,-0.11766707,0.061975103,-0.5207232,-0.23112093,0.26984078,-0.003327811,-0.29206604,-0.45062456,0.05056091,-0.24611041,-0.27282998,0.49668676,0.25233564,-0.22923316,-0.034490637,0.6415993,-0.018537229,0.15380424,-0.14839992,-0.22474582,-0.015273457,0.30227357,0.19921936,0.3020623,-0.04261132,0.39320862,0.21065648,-0.01852874,0.15752918,0.010767524,0.33921993,-0.09914035,-0.28668875,-0.46332535,0.12353563,0.021676896,0.2437503,0.17095205,-0.14248246,-0.09237228,0.12610245,0.20504437,-0.11605314,-0.36082667,-0.15145394,0.047746535,-0.15880221,-0.4005364
-0.1534217,0.20239799,-0.21297842,-0.0720416,0.05685019,-0.05314699,0.25370285,-0.3237069,0.046111453,-0.34132954,0.090203054,0.37606955,0.13811363,0.24154428,-0.044269316,-0.053467322,-0.055404484,0.018831247,-0.29759926,-0.09818152,0.13989082,0.05583088,-0.15675914,-0.43918306,0.16686286,-0.29931855,-0.24926251,0.34141606,0.31443527,-0.35547444,-0.12267478,0.35384816,-0.095991634,0.072633855,-0.15991132,-0.10514495,-0.000598816,0.13523708,0.26570192,0.10160083,-0.1258784,0.2637314,0.19848745,-0.048778437,0.28704613,0.16767101,0.2673144,0.050883103,-0.15385517,-0.29014364,0.15385826,0.08073091,0.24367435,0.13961084,-0.22892216,-0.06092243,0.085384846,0.34149492,-0.12611037,-0.24009278,-0.04918011,-0.07226041,-0.10241313,-0.47787684
-0.2783868,0.107999936,-0.26933804,-0.121164784,0.00232874,0.05918385,0.1678811,-0.09288246,0.05284368,-0.37523496,0.012459365,0.44078565,-0.037468378,0.22793522,-0.18337917,-0.039818387,-0.025790637,0.029254314,-0.17653666,0.107409365,0.13668217,0.20848595,0.028411744,-0.42601165,0.288245,-0.3979511,-0.106068894,0.115560845,0.27448943,-0.44019842,-0.15917268,0.023623142,-0.046255216,0.00113551,-0.10242622,-0.053346697,-0.06791216,0.010234073,0.2902184,-0.19225445,-0.2713927,0.042963654,0.050076306,0.00979404,0.45961052,0.33402517,0.25778386,0.25475287,-0.03367979,-0.18874088,0.009335464,0.09616485,0.294971,0.14300758,-0.27426714,0.0016466,-0.07890924,0.3846079,-0.14612868,-0.26433462,-0.06592972,-0.12918614,-0.011736467,-0.57145226
-0.30295077,0.17765757,-0.014126744,0.089241765,0.33467346,0.097407006,0.14889362,-0.27452946,0.20932966,-0.37165913,-0.05434657,0.6123691,-0.030814128,0.093698256,-0.35653943,0.038648393,-0.054669406,-0.06539786,-0.21003342,0.037651416,0.11293372,0.29604575,-0.06552846,-0.37235495,0.16135958,-0.6270308,-0.092999525,0.29509294,0.38682637,-0.38959128,-0.28026944,-0.120017976,0.23417436,-0.13023733,-0.27086878,-0.07043925,0.009830099,0.05754498,0.23084795,-0.28372362,-0.05986994,0.033235215,-0.028185742,-0.095756955,0.5781872,0.23306878,0.27826476,0.35609305,-0.031007264,-0.17460524,0.120026454,0.053131707,0.22922228,0.09435173,-0.40505695,0.15514772,-0.12581421,0.2421546,-0.14474602,-0.24781764,-0.20366737,0.20136751,0.028002005,-0.48721015
-0.057362743,0.28810284,-0.15060148,-0.000663851,0.118400656,-0.11189872,0.3377483,-0.5254844,0.07823002,-0.36095434,0.061790686,0.40126556,0.20720933,0.10363872,0.01928302,-0.021388905,-0.11533226,0.054571,-0.44526505,-0.13883904,0.1726155,0.07815886,-0.273446,-0.3825026,0.06657893,-0.31330144,-0.21600312,0.48644617,0.26507214,-0.22133453,-0.14376986,0.45472503,0.028600715,0.09405697,-0.28634867,-0.22110938,-0.003127303,0.23855436,0.21696486,0.15247013,-0.05591607,0.28294936,0.10641328,-0.08657417,0.276887,0.029418683,0.3127562,0.049454562,-0.2512905,-0.40047532,0.17130025,0.013033169,0.24802257,0.12639049,-0.20057516,0.02200766,0.04596427,0.20267372,-0.1428746,-0.36275962,-0.18225941,0.093723565,-0.08799514,-0.41572008
-0.25279188,0.11344194,-0.2705906,-0.11415324,-0.015910577,0.06829535,0.2014769,-0.12280352,0.041235846,-0.38043684,0.025516842,0.4182865,-0.004405614,0.18681677,-0.13573687,-0.047329493,-0.03669693,0.05410646,-0.2016925,0.0945348,0.15232353,0.18491794,0.01712978,-0.4369702,0.27404937,-0.3534805,-0.12480366,0.1321984,0.26017806,-0.4049586,-0.108758666,0.10058116,-0.047542077,0.030682888,-0.071584426,-0.063959375,-0.07447795,0.05320774,0.2588835,-0.16815107,-0.27011767,0.06925562,0.06922062,0.022306504,0.4231306,0.32092208,0.2634112,0.21626553,-0.06542034,-0.22977151,-0.004404205,0.09638873,0.30019382,0.16319284,-0.2469619,-0.027129048,-0.050859828,0.3789374,-0.13860524,-0.2661375,-0.08288164,-0.12790714,-0.035180263,-0.5545634
-0.15323652,0.2037034,-0.20951909,-0.06700156,-0.083334185,0.1390652,0.3069699,-0.25124535,0.002910718,-0.35024428,0.100287266,0.51432437,0.050280116,0.17414796,-0.038744092,-0.0450096,-0.012795676,0.054825593,-0.2238711,-0.03789431,0.16737454,0.12294691,-0.10721718,-0.45726323,0.19273244,-0.21885243,-0.2169843,0.18517351,0.33306998,-0.33802146,-0.041565664,0.20414688,-0.10049292,0.07965072,-0.08540162,-0.06897111,-0.06353285,0.16022277,0.16267022,-0.12804106,-0.21936095,0.1535045,0.17602444,-0.013707833,0.33087885,0.23937315,0.26867768,0.06852398,-0.09537265,-0.2904355,0.08970415,0.0822487,0.3321986,0.19572657,-0.17751926,-0.097570576,0.035456464,0.39534858,-0.14628883,-0.1530541,-0.08833086,-0.042676825,-0.08147981,-0.5117279
-0.2709488,0.061089788,-0.26770204,-0.08996554,-0.0754209,0.088886134,0.23313992,-0.060829572,0.045418307,-0.37066558,0.017809657,0.41133618,-0.04696753,0.21266039,-0.155861,-0.06067936,-0.039907552,0.043077715,-0.16335489,0.123050205,0.15892713,0.18660775,0.008940261,-0.4005963,0.3140854,-0.33543617,-0.11660489,0.1018852,0.2867062,-0.46474543,-0.09101392,0.08049858,-0.07149008,0.054436572,-0.057868183,-0.045206413,-0.1063142,0.033796895,0.27531806,-0.22312099,-0.27603188,0.094728336,0.10640198,0.045032717,0.41338146,0.331129,0.23806901,0.21380386,-0.042438887,-0.23879988,-0.015234686,0.14344575,0.29921263,0.14426816,-0.2766767,-0.01948961,0.014815523,0.41592738,-0.1336829,-0.23875438,-0.045939673,-0.16590191,-0.04789232,-0.61505026
-0.12083243,0.3743447,-0.1650245,-0.08620879,0.23592651,0.007642911,0.14109649,-0.4606763,0.021910612,-0.2660127,0.10819706,0.5208205,0.15866572,0.23310027,-0.107464895,-0.03010652,-0.044674285,0.022434143,-0.29536104,-0.11846801,0.03384055,0.03309482,-0.19703211,-0.56742203,0.07104444,-0.4329022,-0.30119628,0.36310044,0.28284106,-0.22240004,-0.24799031,0.16128789,-0.06322762,-0.04317732,-0.28639388,-0.20940381,0.09325167,0.16376284,0.22385462,0.110437006,-0.11918537,0.10953236,0.025874125,-0.19320552,0.3570075,0.11329041,0.33687347,0.06459637,-0.1514833,-0.16254805,0.22145568,-0.09343969,0.31751645,0.11003095,-0.17818116,-0.020676926,-0.096993096,0.19178632,-0.16855635,-0.20791864,-0.095174044,0.15680888,0.053960394,-0.31358004
-0.18583742,0.19356467,-0.1839932,-0.047133356,0.082399905,0.06220552,0.22638345,-0.2731137,0.05234548,-0.351574,0.053771038,0.470707,0.07142116,0.16100332,-0.13945413,-0.051334705,-0.0344703,0.024377355,-0.26002753,-0.012627069,0.15742326,0.14913212,-0.08959076,-0.4433326,0.20513499,-0.34965554,-0.17519785,0.21898313,0.28744692,-0.34241778,-0.11702887,0.14111963,-0.016787985,0.020735703,-0.11687441,-0.112405196,-0.020297807,0.12878963,0.2133506,-0.081412084,-0.17194463,0.10589167,0.07745215,-0.041417167,0.37288448,0.22434701,0.28830466,0.13872449,-0.09517694,-0.23472065,0.07433961,0.047935054,0.30084807,0.1248792,-0.22761501,-0.03392803,-0.029924102,0.29509944,-0.14353977,-0.24065994,-0.10896959,0.00462311,-0.033567343,-0.46958733
